bin	classification	size	completeness	redundancy	n_scaffolds	n_contigs	ctg_N50	ctg_L50
3300009517-bin.12	'o__Cytophagales'	7521840	100	0	62	62	15	167470
3300009517-bin.13	'o__Burkholderiales'	4422216	99.8442367601246	0.058411214953271	33	33	9	183379
3300009517-bin.1	'o__Cytophagales'	4850289	99.1071428571429	0.595238095238095	21	21	5	322286
3300009517-bin.29	'o__Rhizobiales'	3589362	98.5370950888192	0.167189132706374	19	19	3	409678
3300009517-bin.30	'o__Flavobacteriales'	2783660	100	0.490196078431373	18	18	4	310039
3300009517-bin.31	'f__Flavobacteriaceae'	3088261	99.2932862190813	0.353356890459364	20	20	4	298985
3300009517-bin.3	'o__Actinomycetales'	3662903	98.9526411657559	0.546448087431694	57	57	11	118864
3300009517-bin.42	'o__Burkholderiales'	6437877	99.6105919003115	2.83155318202047	77	77	14	139544
3300009517-bin.47	'f__Rhodobacteraceae'	4341736	97.5151515151515	2.07575757575758	80	82	5	358886
3300009517-bin.52	'o__Actinomycetales'	3554087	90.6723414754503	3.09647174932149	162	165	33	30749
3300009517-bin.6	'c__Alphaproteobacteria'	2980669	98.4307359307359	0.324675324675325	6	6	2	598986
3300009517-bin.7	'o__Actinomycetales'	2934589	97.8114478114478	0	8	8	3	520750
3300026282-bin.4	'c__Betaproteobacteria'	4343859	100	0.504201680672269	33	33	4	286944
3300026282-bin.5	'c__Alphaproteobacteria'	2627818	99.9458874458875	0	6	6	2	822720
3300026283-bin.18	'k__Bacteria'	3170547	98.3606557377049	1.36612021857923	22	22	3	300019
3300026283-bin.19	'p__Bacteroidetes'	2979717	99.0147783251231	0.985221674876847	27	27	6	217984
3300026283-bin.21	'o__Rhizobiales'	5083925	99.5820271682341	1.88087774294671	73	73	15	114877
3300026283-bin.28	'o__Sphingomonadales'	4481396	99.9799237100984	1.55591246737603	39	39	4	346465
3300026284-bin.6	'o__Actinomycetales'	3355964	98.9189189189189	0	19	19	3	384537
3300026284-bin.9	'c__Betaproteobacteria'	4755952	99.8412698412698	0.238095238095238	67	67	14	130909
3300026287-bin.17	'o__Rhizobiales'	3938694	99.6835443037975	0.0287686996547756	29	29	5	353631
3300026287-bin.29	'c__Alphaproteobacteria'	3105221	100	0	6	6	2	1001986
3300026287-bin.38	'c__Alphaproteobacteria'	2662444	100	0.324675324675325	18	18	4	300405
3300026287-bin.4	'o__Rhizobiales'	5717539	99.5081967213115	2.18579234972678	25	25	4	312409
3300026288-bin.15	'p__Bacteroidetes'	3667562	96.5346534653465	0.495049504950495	47	47	9	140181
3300026288-bin.19	'f__Rhodobacteraceae'	3981499	99.5353535353536	0.757575757575758	18	18	4	419288
3300026288-bin.23	'o__Burkholderiales'	4265696	98.481308411215	0.981308411214953	174	174	32	35748
3300026288-bin.30	'f__Flavobacteriaceae'	3379531	98.7632508833922	0.530035335689046	169	169	30	33312
3300026288-bin.32	'p__Bacteroidetes'	5939362	97.029702970297	0.99009900990099	45	45	8	261034
3300026288-bin.34	'o__Burkholderiales'	5528788	98.9485981308411	0.233644859813084	26	26	4	437466
3300026288-bin.43	'o__Actinomycetales'	4195066	99.4535519125683	1.91256830601093	66	66	14	120723
3300026288-bin.6	'k__Bacteria'	3165353	93.9814814814815	0.925925925925926	45	45	10	113120
3300026289-bin.23	'o__Rhizobiales'	4334506	99.0983606557377	0.922131147540984	29	29	6	207568
3300026289-bin.24	'o__Rhizobiales'	5028743	99.2685475444096	0.783699059561129	20	20	4	492604
3300026289-bin.28	'k__Bacteria'	3594400	100	1.61290322580645	17	17	4	326208
3300026289-bin.38	'f__Rhodobacteraceae'	4319231	97.468253968254	0.833333333333333	193	193	39	32828
3300026289-bin.41	'c__Alphaproteobacteria'	2604307	97.7272727272727	0	7	7	2	638309
3300026299-bin.12	'f__Xanthomonadaceae'	3834866	99.6059113300493	0.977011494252873	25	25	6	224834
3300026299-bin.22	'o__Actinomycetales'	3083730	98.018018018018	0.540540540540541	26	26	5	156535
3300026299-bin.26	'f__Rhodobacteraceae'	3808849	99.3333333333333	0.151515151515152	23	23	5	341555
3300026299-bin.49	'f__Rhodobacteraceae'	4966873	99.6969696969697	0.606060606060606	55	55	6	279037
3300026302-bin.10	'f__Comamonadaceae'	3876006	99.9484004127967	1.04231166150671	37	37	7	190275
3300026302-bin.20	'o__Burkholderiales'	3508081	100	0.700934579439252	14	14	3	490334
3300026302-bin.24	'k__Bacteria'	4159980	98.8826815642458	0.558659217877095	24	24	4	471868
3300026302-bin.25	'o__Rhizobiales'	4231623	94.9934102465748	0.395569620253165	343	343	76	17583
3300026302-bin.27	'p__Bacteroidetes'	3975247	97.3070607553366	1.97044334975369	116	116	19	68512
3300026302-bin.31	'o__Burkholderiales'	3411196	99.2565845369584	0.962900028320589	37	37	8	145598
3300026302-bin.32	'p__Bacteroidetes'	3899556	99.5238095238095	0	63	63	10	119707
3300026302-bin.46	'f__Xanthomonadaceae'	3641589	99.9507389162562	0.890804597701149	30	30	7	237239
3300026302-bin.47	'f__Xanthomonadaceae'	2992856	99.0229885057471	0	6	6	1	1643145
3300026302-bin.59	'f__Xanthomonadaceae'	3663872	98.0985432192329	0.882594417077176	259	259	46	18939
